Gene_Symbol,ES3
STAB1,-0.767440276
FUZ,0.036520085
SLC6A13,-0.811753412
IDS,0.854749385
PRSS3,-0.908638883
ZNF200,0.673315743
CD4,-0.909314809
LRRC23,0.293809251
BTK,-0.935255113
HFE,-0.721271546
SCMH1,0.027349407
FYN,1.867437664
HIVEP2,-0.773439524
FMO1,-0.933199057
TCEB3,1.051656674
LYPLA2,2.571793091
CLCN6,-0.51507054
MRC2,-0.509289888
SLC6A7,-0.854294939
TSPAN9,-0.215301097
BTBD7,0.664033619
APBA3,0.072126029
MKS1,-0.103518753
ABHD5,0.118517524
KAL1,-0.784569308
AKAP8L,1.056018961
MBTD1,0.252858185
UTP18,0.415768869
RNF216,0.166341454
TTC19,1.753339208
PTBP1,2.427878057
DPF1,-0.733853292
SYT7,-0.679590886
LARS2,0.382608651
PIK3C2A,-0.428464806
PLAUR,-0.436416697
ANLN,0.542434208
WIZ,0.054720357
RABGAP1,1.957545485
DCN,-0.572310729
QPCTL,-0.759580714
PPP5C,0.109331093
CEP68,0.359548405
MAP4K3,0.033867755
ZBTB32,-0.634686262
TYROBP,-0.775813248
TMEM159,-0.39028011
GABRA3,-0.719177395
BRCA1,-0.654776973
ERCC1,2.090897068
CD22,-0.797453309
SEMA3B,-0.468778082
MBTPS2,0.892591035
PRICKLE3,-0.910491339
LTF,-0.767206069
EXTL3,0.676178374
NR1H4,-0.849528707
ELOVL5,1.477888125
ALOX5,-1.008698868
KDM5D,-0.598779323
CALCOCO1,-0.60990339
UBR7,0.625777298
MAP4K5,0.761541965
EHD3,-0.525791943
PSMC4,1.873263526
MAN2B2,-0.264683573
SLC7A14,-0.861236197
CLDN11,-0.818218197
SLC25A39,1.445785626
MVP,-0.160279017
NUB1,0.83069885
PGM3,0.802896918
RWDD2A,0.653476478
CLK1,0.828486455
POLR3B,1.717871108
ANGEL1,-0.506187471
RNF14,1.164955536
DNASE1L1,-0.010292116
DDX11,-0.851483861
HEBP1,1.333953535
GPRC5A,-0.774022493
MAMLD1,-0.877392385
CD6,-0.890352615
TACC3,-0.590431054
UFL1,0.976633631
POLA2,0.177145925
ZC3H3,-0.580561591
CAPN1,-0.235025289
ACPP,-0.861079354
MDH1,2.557843284
SLC30A9,1.438572892
MTMR11,-0.673333488
COX15,0.578928634
CCDC88C,-0.487717847
YAF2,0.43094552
ZMYND11,1.399447164
WAS,-0.880966846
DPEP1,-0.531912816
BID,0.848053578
MATR3,1.332806205
NPC1L1,-0.756396296
XYLT2,-0.664424247
STMN4,-0.988938185
NUDCD3,0.142297288
ISL1,0.042274847
CHDH,-0.813537534
IL20RA,-0.808900152
CLCA1,-0.937083742
CLCA4,-1.004930242
GLT8D1,1.60221406
ATP2C1,1.336038742
SRCIN1,-0.846315169
IGF1,-0.523583991
SLC38A5,-0.161120912
MAGIX,-0.784854538
RALBP1,0.713108181
RUFY3,0.198833645
CNTN1,-0.809623645
SLC11A1,-0.798822248
WWTR1,-0.060940177
AGPS,0.664122664
CXorf56,0.272949893
ATP1A2,-0.847388343
TTC27,1.358150036
ZNF582,-0.56201264
VSIG2,-0.712781978
PHLDB1,-0.711290315
MARCO,-0.732784923
CYP24A1,-0.709925105
PRDM11,-0.418086812
SYT13,-0.576248769
SNAI2,0.124465592
CD74,-0.843296991
HGF,-0.920125093
ZRANB1,0.503287163
NCDN,-0.392449388
GPR124,0.837370242
ZFP64,-0.203321458
SAMD4A,-0.254885846
RUNX3,0.516265508
MRE11A,-0.47456844
PLEKHB1,-0.766334286
SERPINB1,-0.920030227
CYP3A43,-0.88667862
SLC7A9,-0.886430677
SPAST,0.6033735
NRXN3,-0.544590818
OSBPL5,-0.703943559
AQR,0.654939817
CPS1,-0.949825363
C8B,-0.834275805
FHL1,1.504351094
RTFDC1,-0.608032414
GABRA1,-0.930319408
NLRP2,0.49412124
SLC45A4,-0.076330389
RNF10,1.85684788
ZNF839,0.35371756
ZDHHC6,0.765607311
GRAMD1B,-0.624536883
RNH1,1.789028646
NDUFS1,1.508611886
RB1CC1,2.10126421
ERP44,0.343419798
ALAS1,1.307728211
BIRC3,-0.960061548
AKAP11,0.886831892
GLRX2,1.573015026
SNAPC1,0.263191212
DERA,1.662644391
STRAP,2.888522049
ABCC2,-0.7899904
DEF6,-0.846885955
PLEKHO1,1.652459242
GCLM,-0.145859113
UBR2,-0.595909263
EHD2,-0.842603374
DEPDC1,1.672355831
CCDC28A,1.4231338
RRAGD,1.081098985
HSF2,0.572844221
PHF20,0.220267331
NR1H3,-0.580062929
TYMP,-0.835476616
NCAPH2,-0.291094266
TOMM34,0.730262217
SEC63,2.09078756
KPNA6,1.702685366
VIM,3.285604024
FAS,1.072726019
CD44,-0.736258257
KCNG1,0.229111736
AGPAT4,-0.103673616
SLAMF7,-0.815225035
BTN3A1,-0.762125848
MIPEP,0.46004092
INSRR,-0.888952238
IFNGR1,1.222072547
B4GALT7,-0.233308628
SH2D2A,-0.081091187
VRK2,0.127341253
TNFRSF1B,-0.87257522
VEZT,0.909381771
POU2F2,-0.763504482
BRD9,0.401466554
SNX1,1.245792506
TBPL1,2.528272137
ARNTL2,-0.390528226
BCLAF1,0.814130968
SLC39A9,-0.303921028
ANK1,-0.623485752
TFB1M,0.764506716
RABEP1,1.318159963
HMGB3,1.34272471
NUP160,0.477910255
BAK1,-0.42267691
MUSK,-0.755341545
GRN,1.072020678
FAM13B,0.695079566
ARHGAP31,-0.625623995
NR2E3,-0.881241786
CENPQ,0.497333182
SARS,3.217922582
RANBP3,0.359333875
ARID4A,-0.118345105
TSSC1,1.227267019
PNPLA6,-0.605825583
IFT88,0.059121755
ALG1,-0.558684258
ZCCHC8,1.677826837
ABCF2,1.102753568
CHPF2,-0.108083869
LRRC7,-0.961167397
FUT8,-0.150937072
UBA6,0.483077489
GAB2,-0.597629702
ATP6V0A1,-0.593803497
PIAS1,1.261672177
SLC4A7,1.323286255
APBA2,0.451065098
MAP2K3,-0.258252045
EFCAB1,-0.936581413
TMSB10,3.31763866
ASTE1,0.415705917
RNF19A,0.73038049
PEX3,-0.012317168
GABARAPL2,2.384977948
MYOC,-0.870585239
SH3YL1,0.297166535
FAM136A,1.405598834
VCL,-0.614500143
DEPDC1B,0.774520316
DAPK2,-0.815932398
NSMAF,1.630905636
ADSS,1.589920815
STAP1,-0.933416324
TIMP2,1.16799868
RFC1,1.166351144
TBC1D23,0.282559419
CUL3,1.204729936
MYOM2,0.877087517
CYP46A1,-0.782731141
ZZZ3,1.677375683
SLC18A1,-0.838277345
USP2,-0.785272737
CASR,-0.849069469
TUBG2,1.349523907
FLT4,-0.788989192
NSUN2,1.67713566
FBXO42,0.446212007
MFAP3,0.167803873
MRI1,-0.180487396
METTL1,1.27793753
AGA,1.150955908
PI4K2B,0.49239059
BOD1L1,0.807402699
MAT2B,1.432220834
TLL1,-0.835897968
EDC4,-0.432337416
TRIO,-0.029394113
VCAN,-0.863090592
CLEC16A,-0.341673309
MSR1,-0.872888278
CDH1,-0.764608837
SKIV2L2,1.892737691
DNAH5,-0.812508163
ZFYVE16,-0.415272337
FAM65A,-0.223225324
C6,-0.82943972
RAI14,-0.848446409
SOX30,-0.708267765
PNKP,0.914682448
BEST2,-0.836977157
PHLPP2,-0.081292259
SPDL1,1.271539241
STAU2,0.682913602
PQLC2,-0.391265243
CTNS,-0.685299776
RTN4R,-0.629446479
PHF23,1.785180368
CDH10,-0.726551881
INPP4A,0.445603057
RAB27B,-0.859933093
PSMA4,2.694064642
MYO16,-0.530192053
LSG1,1.113550721
PARP3,-0.222296977
TNC,0.280793907
THAP3,-0.174316461
FAM65C,-0.701633868
TDP1,1.005482315
AIFM2,-0.160944416
C2orf83,-0.932745617
SPATA7,0.173734669
MED17,0.757046434
RETSAT,-0.077037634
CAPG,-0.213627153
AP2S1,2.134732742
USH2A,-0.910925003
ZPBP,-0.655387015
TG,-0.803636793
ADAM28,-0.768326309
BARX2,-0.821304243
DCUN1D1,0.130213147
PHF15,-0.692546287
ZIC2,0.877970555
LCP2,-0.906643142
TRIT1,1.013207209
ADRB1,0.200855773
GUCA2B,-0.923269307
CUL7,-0.127593286
CTNNA1,2.03688922
PHKA2,0.612385981
CNTLN,-0.571700937
EPHA3,0.295901358
HSPA5,1.508799569
DSG2,-0.88021808
GEMIN8,0.324210139
OFD1,-0.007847311
GPM6B,-0.261134091
MAGEC2,-0.877989641
PREX2,-0.939949762
WDR37,-0.770355681
YTHDC2,0.149507513
CTPS2,0.488133624
ATP6V1H,1.03350987
POLR2B,2.910126505
FAM214A,-0.078635124
TPR,1.785056427
CP,-0.948012451
